Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Games Played,Points per Game,Rebounds per Game,Assists,Net Rating,Offensive Rebound %,Defensive Rebound %,Usage %,True Shooting %,Assist %
Thabo Sefolosha,ATL,32,7-Jun,220,None,Switzerland,2006,1,13,44,7.6,4.3,1.6,1,3.40%,14.80%,13.70%,53.20%,8.90%
Thaddeus Young,IND,28,8-Jun,221,Georgia Tech,USA,2007,1,12,49,11.5,6.1,1.7,1.5,5.60%,15.70%,16.60%,57.30%,8.00%
Thomas Robinson,LAL,25,10-Jun,237,Kansas,USA,2012,1,5,34,3.9,4.4,0.7,-14.3,16.60%,29.80%,17.40%,51.80%,10.00%
Thon Maker,MIL,19,1-Jul,223,None,South Sudan,2016,1,10,26,2.9,1.2,0.1,0.7,8.90%,18.40%,19.80%,66.40%,2.50%
Tim Frazier,NOP,26,1-Jun,170,None,USA,Undrafted,Undrafted,Undrafted,38,8.9,2.9,6,-3.1,2.20%,10.10%,17.90%,53.10%,35.10%
Tim Hardaway Jr.,ATL,24,6-Jun,205,Michigan,USA,2013,1,24,50,12.6,2.4,2,5.4,1.50%,9.60%,22.40%,55.10%,13.10%
Tim Quarterman,POR,22,6-Jun,190,Louisiana State,USA,Undrafted,Undrafted,Undrafted,12,1.3,0.5,0.6,15.3,6.10%,8.50%,16.70%,80.00%,29.20%
Timofey Mozgov,LAL,30,1-Jul,275,None,Russia,Undrafted,Undrafted,Undrafted,52,7.5,4.9,0.8,-9.6,9.60%,16.00%,17.10%,54.70%,6.10%
Timothe Luwawu-Cabarrot,PHI,21,6-Jun,205,None,France,2016,1,24,38,3.8,1.5,0.7,-9,2.10%,11.50%,16.20%,53.10%,9.50%
Tobias Harris,DET,24,9-Jun,235,Tennessee,USA,2011,1,19,52,16.3,5.1,1.7,-3.7,1.80%,16.50%,21.90%,57.00%,8.20%
Tomas Satoransky,WAS,25,7-Jun,210,None,Czech Republic,2012,2,32,35,3.2,1.8,1.9,3.2,4.30%,9.40%,12.60%,50.20%,19.00%
Toney Douglas,MEM,30,2-Jun,195,Florida State,USA,2009,1,29,10,4.7,2.5,2,8.1,1.30%,17.40%,16.30%,46.10%,19.20%
Tony Allen,MEM,35,4-Jun,213,Oklahoma State,USA,2004,1,25,46,9.3,5.6,1.2,1.7,9.10%,13.60%,17.80%,49.70%,6.90%
Tony Parker,SAS,34,2-Jun,185,None,Belgium,2001,1,28,38,11.1,2,4.6,5.8,1.10%,7.50%,21.20%,52.80%,27.30%
Tony Snell,MIL,25,7-Jun,217,New Mexico,USA,2013,1,20,49,8,3.3,1.2,-0.6,1.20%,11.70%,11.70%,59.40%,5.70%
Treveon Graham,CHA,23,6-Jun,226,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,17,1.5,0.8,0.3,-2.5,2.20%,10.40%,10.20%,63.70%,9.10%
Trevor Ariza,HOU,31,8-Jun,215,UCLA,USA,2004,2,43,54,11.8,5.5,2.2,5.9,2.10%,15.50%,14.20%,55.50%,8.90%
Trevor Booker,BKN,29,8-Jun,228,Clemson,USA,2010,1,23,46,10,8.6,2.2,-10.9,8.60%,25.40%,17.50%,56.00%,14.10%
Trey Burke,WAS,24,1-Jun,191,Michigan,USA,2013,1,9,47,4.8,0.8,1.7,-6.9,1.40%,6.10%,20.00%,51.90%,21.70%
Trey Lyles,UTA,21,10-Jun,234,Kentucky,Canada,2015,1,12,52,7.6,3.8,1.2,1.3,4.80%,17.80%,21.60%,49.30%,10.40%
Tristan Thompson,CLE,25,9-Jun,238,Texas,Canada,2011,1,4,50,7.9,9.6,0.8,6.4,13.70%,21.50%,11.10%,58.20%,3.80%
Troy Daniels,MEM,25,4-Jun,205,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,39,8.7,1.2,0.7,5.1,1.50%,6.40%,21.60%,54.80%,6.70%
Troy Williams,MEM,22,7-Jun,210,Indiana,USA,Undrafted,Undrafted,Undrafted,24,5.3,1.8,0.8,-6.6,1.60%,10.70%,17.60%,47.70%,7.50%
Ty Lawson,SAC,29,11-May,195,North Carolina,USA,2009,1,18,50,9.1,2.6,4.5,-2.1,3.10%,8.90%,18.80%,53.20%,28.40%
Tyler Ennis,HOU,22,3-Jun,194,Syracuse,Canada,2014,1,18,29,2,0.6,1,-13.7,2.50%,7.20%,20.80%,45.10%,26.10%
Tyler Johnson,MIA,24,4-Jun,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,44,13.8,4.2,3.2,-2.3,2.10%,13.10%,20.40%,52.50%,16.90%
Tyler Ulis,PHX,21,10-May,150,Kentucky,USA,2016,2,34,32,3,0.7,1.1,0.9,2.60%,6.60%,20.80%,43.20%,19.30%
Tyler Zeller,BOS,27,Jul-00,253,North Carolina,USA,2012,1,17,31,4.2,3.1,0.9,4.5,9.40%,16.90%,16.80%,48.00%,11.00%
Tyreke Evans,NOP,27,6-Jun,220,Memphis,USA,2009,1,4,23,9.7,3.2,3.6,-7.4,1.50%,18.80%,28.20%,49.40%,36.10%
Tyson Chandler,PHX,34,1-Jul,240,None,USA,2001,1,2,43,8.7,11.7,0.6,-3.4,12.90%,33.70%,11.30%,71.10%,3.10%
Tyus Jones,MIN,20,2-Jun,195,Duke,USA,2015,1,24,31,3.3,1,2.3,4.7,2.30%,8.40%,13.80%,56.90%,28.90%
Udonis Haslem,MIA,36,8-Jun,235,Florida,USA,Undrafted,Undrafted,Undrafted,15,2.1,2.3,0.4,-22.5,6.40%,24.80%,12.90%,54.20%,9.40%
Victor Oladipo,OKC,24,4-Jun,210,Indiana,USA,2013,1,2,44,16,4.4,2.5,2.3,1.90%,12.00%,20.90%,53.10%,11.80%
Vince Carter,MEM,40,6-Jun,220,North Carolina,USA,1998,1,5,47,8.1,3.3,1.8,5,2.40%,13.20%,15.40%,52.90%,11.50%
Wade Baldwin IV,MEM,20,4-Jun,202,Vanderbilt,USA,2016,1,17,24,3.4,1.4,2,-15,2.50%,9.40%,18.70%,41.30%,27.10%
Wayne Ellington,MIA,29,4-Jun,200,North Carolina,USA,2009,1,28,32,11,1.9,1.4,-0.6,0.90%,7.40%,17.50%,54.50%,7.80%
Wesley Johnson,LAC,29,7-Jun,215,Syracuse,USA,2010,1,4,45,3.1,3.2,0.5,-1.3,4.20%,21.70%,12.60%,45.90%,5.10%
Wesley Matthews,DAL,30,5-Jun,220,Marquette,USA,Undrafted,Undrafted,Undrafted,48,15.2,3.5,2.3,-3.8,0.70%,11.50%,20.80%,54.10%,11.00%
Will Barton,DEN,26,6-Jun,175,Memphis,USA,2012,2,40,37,13.4,4.3,3.2,-4.6,3.50%,13.60%,20.20%,56.40%,17.50%
Willie Cauley-Stein,SAC,23,Jul-00,240,Kentucky,USA,2015,1,6,45,5.2,2.5,0.4,-10.5,8.20%,14.80%,18.90%,57.60%,5.70%
Willie Reed,MIA,26,10-Jun,220,Saint Louis,USA,Undrafted,Undrafted,Undrafted,43,5.5,4.8,0.3,3.8,13.60%,22.10%,15.20%,59.10%,3.70%
Willy Hernangomez,NYK,22,11-Jun,240,None,Spain,2015,2,35,45,6.3,5.7,1,1.6,13.50%,26.00%,18.70%,56.90%,10.80%
Wilson Chandler,DEN,29,8-Jun,225,DePaul,USA,2007,1,23,47,15.4,6.7,2.1,-3,5.40%,19.00%,22.40%,53.20%,10.50%
Yogi Ferrell,DAL,23,Jun-00,180,Indiana,USA,Undrafted,Undrafted,Undrafted,15,9.3,1.7,2.8,-4.4,2.20%,7.00%,20.20%,54.70%,18.90%
Zach LaVine,MIN,21,5-Jun,185,UCLA,USA,2014,1,13,47,18.9,3.4,3,-3.5,1.20%,9.80%,21.80%,57.60%,12.90%
Zach Randolph,MEM,35,9-Jun,260,Michigan State,USA,2001,1,19,47,14.2,8.3,1.7,1.7,10.80%,28.20%,28.30%,49.50%,13.80%
Zaza Pachulia,GSW,32,11-Jun,275,None,Georgia,2003,2,42,44,5.9,6,2,17.7,13.60%,21.80%,14.30%,58.90%,13.10%
