Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,Games Played,Points per Game,Rebounds per Game,Assists,Net Rating,Offensive Rebound %,Defensive Rebound %,Usage %,True Shooting %,Assist %
Marcin Gortat,WAS,32,11-Jun,240,None,Poland,2005,2,57,51,11.9,11.5,1.6,4.5,10.60%,26.30%,14.30%,61.20%,6.60%
Marco Belinelli,CHA,30,5-Jun,210,None,Italy,2007,1,18,46,10.8,2.5,1.9,-2,0.80%,10.00%,18.60%,57.70%,12.20%
Marcus Morris,DET,27,9-Jun,235,Kansas,USA,2011,1,14,51,14.2,4.5,2.1,0.1,3.00%,12.20%,20.00%,51.70%,9.50%
Marcus Smart,BOS,22,4-Jun,220,Oklahoma State,USA,2014,1,6,48,10,3.8,4.7,5.3,3.60%,10.50%,17.90%,47.70%,22.10%
Marcus Thornton,WAS,29,4-Jun,205,Louisiana State,USA,2009,2,43,33,6.6,2.3,1.2,-12.7,4.30%,12.00%,18.90%,49.40%,10.50%
Mario Hezonja,ORL,21,8-Jun,218,None,Croatia,2015,1,5,36,3.5,1.5,0.6,-14.9,2.50%,14.60%,21.80%,43.60%,11.30%
Markieff Morris,WAS,27,10-Jun,245,Kansas,USA,2011,1,13,50,14.4,6.8,1.8,5.8,5.40%,17.90%,21.20%,52.90%,8.00%
Marquese Chriss,PHX,19,10-Jun,233,Washington,USA,2016,1,8,52,7.7,3.4,0.6,-10.5,6.70%,14.60%,20.00%,50.50%,4.70%
Marreese Speights,LAC,29,10-Jun,255,Florida,USA,2008,1,16,52,10.1,4.8,0.9,0.4,8.20%,23.30%,24.50%,60.50%,8.80%
Marshall Plumlee,NYK,24,Jul-00,250,Duke,USA,Undrafted,Undrafted,Undrafted,7,1.3,2.4,0.6,3.2,14.30%,17.60%,7.30%,67.80%,8.00%
Marvin Williams,CHA,30,9-Jun,237,North Carolina,USA,2005,1,2,45,11.2,5.6,1.2,0.4,3.50%,18.40%,17.80%,53.30%,7.10%
Mason Plumlee,POR,26,11-Jun,255,Duke,USA,2013,1,22,52,11.1,7.9,4,0.3,8.70%,23.30%,18.40%,54.70%,20.10%
