Player,Player Anonymized,Team,Position,Rand,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played,Height (Inches),Weight (Pounds)
Rudy Gobert,852,UTA,Center,0.499655383,0,0,1.5,2.1,5.8,3.2,4.6,2.6,31.6,2.7,9.1,3.4,0.7,11,1.9,61,85,245
Danilo Gallinari,828,DEN,Small Forward,0.135178064,4.5,1.6,2.5,0.4,13.2,5.4,8.2,7.1,34.7,1.6,19.5,1,0.8,5.3,1.5,53,82,225
Paul Millsap,824,ATL,Power Forward,0.286746342,2.9,0.9,3.3,1.7,13.2,6.2,5,3.8,32.6,2.9,17.1,2.4,1.8,9,2.4,81,80,247
Dirk Nowitzki,819,DAL,Power Forward,0.829105606,4.6,1.7,1.8,0.7,14.8,6.6,3.7,3.3,31.5,2.1,18.3,0.7,0.7,6.5,1.1,75,84,245
Chris Paul,799,LAC,Point Guard,0.500758687,4.4,1.6,10,0.2,15.1,7,4.4,4,32.8,2.5,19.5,0.5,2,4.2,2.6,74,72,175
Rajon Rondo,771,SAC,Point Guard,0.228824469,2.4,0.9,11.6,0.1,10.9,4.9,2.1,1.2,35.2,2.4,11.9,1.1,2,6.1,3.9,72,73,185
Jabari Parker,764,MIL,Small Forward,0.818319323,0.5,0.1,1.7,0.4,11.8,5.8,3,2.3,31.7,2,14.1,1.6,0.9,5.2,1.5,76,80,250
Victor Oladipo,763,ORL,Shooting Guard,0.181849378,3.9,1.4,3.9,0.8,13.5,5.9,3.4,2.8,33.1,2.4,16,0.7,1.6,4.8,2.1,72,76,214
Taj Gibson,762,CHI,Power Forward,0.598984462,0,0,1.5,1.1,6.9,3.6,2,1.4,26.5,2.5,8.6,2.8,0.6,6.9,1.1,73,81,225
Joe Johnson,755,MIA,Small Forward,0.23943885,3.9,1.5,3.9,0,10.6,4.7,1.8,1.5,33.4,1.8,12.2,0.6,0.8,3.6,2,81,79,240
Jordan Clarkson,752,LAL,Point Guard,0.763733045,4,1.4,2.4,0.1,13.9,6,2.6,2.1,32.4,2.1,15.5,1.2,1.1,4,1.7,79,77,181
Andrew Wiggins,751,MIN,Small Forward,0.54954913,2.3,0.7,2,0.6,16,7.3,7,5.3,35.1,2,20.7,1.3,1,3.6,2.2,81,80,200
Mike Conley,702,MEM,Point Guard,0.539909251,3.8,1.4,6.1,0.3,12.4,5.2,4.1,3.4,31.3,1.8,15.3,0.5,1.2,2.9,1.5,56,73,185
Rudy Gay,689,SAC,Small Forward,0.406546259,3.1,1.1,1.7,0.7,14.4,6.7,3.6,2.8,34,2.6,17.2,1.5,1.4,6.5,2,70,80,229
Lamarcu Aldridge,686,SAN,Power Forward,0.607687914,0.2,0,1.5,1.1,14.1,7.2,4.1,3.5,30.5,2,18,2.4,0.5,8.5,1.3,74,83,240
Derrick Favors,678,UTA,Power Forward,0.775860608,0.1,0,1.5,1.5,13.1,6.7,4.1,2.9,32,2.4,16.4,2.7,1.2,8.1,1.7,62,82,247
Jae Crowder,640,BOS,Small Forward,0.975135272,5,1.7,1.8,0.5,11.1,4.9,3.3,2.7,31.6,2.7,14.2,1,1.7,5.1,1.1,73,78,225
Robin Lopez,621,NYK,Center,0.55760786,0,0,1.4,1.6,8.1,4.4,2,1.6,27,2.2,10.3,3.3,0.2,7.3,1.6,82,84,256
Jahlil Okafor,611,PHI,Center,0.230479608,0.1,0,1.2,1.2,14.7,7.5,3.7,2.5,30.1,2.6,17.5,2.3,0.4,7,2.3,53,83,271
Marvin Williams,606,CHA,Power Forward,0.987391642,4.7,1.9,1.4,1,9.2,4.2,1.8,1.5,28.9,1.6,11.7,1.6,0.7,6.4,0.8,81,81,245
Karl-Anthony Towns,603,MIN,Center,0.529194978,1.1,0.4,2,1.7,14,7.6,3.4,2.7,32,3,18.3,2.8,0.7,10.4,2.2,82,84,247
George Hill,600,IND,Point Guard,0.068776713,4.2,1.7,3.5,0.2,10,4.4,2,1.5,34.1,2,12.1,0.8,1.1,4,1.4,74,74,181
Nerlens Noel,597,PHI,Center,0.060852477,0,0,1.8,1.5,8.8,4.6,3.4,2,29.3,2.9,11.1,2.3,1.8,8.1,2.4,67,83,228
Trevor Ariza,590,HOU,Small Forward,0.557383545,6.1,2.3,2.3,0.3,10.6,4.4,2,1.6,35.3,2.2,12.7,0.8,2,4.5,1.4,81,80,218
P.J. Tucker,585,PHO,Small Forward,0.650035061,2.5,0.8,2.2,0.2,7.1,2.9,1.7,1.3,31,2.5,8,2,1.3,6.2,1.4,82,77,225
Kevin Durant,574,OKL,Small Forward,0.585762238,6.7,2.6,5,1.2,19.2,9.7,6.9,6.2,35.8,1.9,28.2,0.6,0.9,8.2,3.5,72,81,240
Derrick Rose,571,CHI,Point Guard,0.142560549,2.3,0.7,4.7,0.2,15.9,6.8,2.7,2.2,31.7,1.3,16.4,0.7,0.7,3.4,2.7,66,75,190
Bradley Beal,570,WAS,Shooting Guard,0.775766965,4.9,1.9,2.9,0.2,14.5,6.5,3.2,2.5,31.1,2.1,17.4,0.7,1,3.4,2,55,77,207
Goran Dragic,554,MIA,Shooting Guard,0.883942539,2.8,0.9,5.8,0.2,12.2,5.8,2.3,1.7,32.8,2.6,14.1,0.8,1,3.8,2.6,72,75,190
Kawhi Leonard,537,SAN,Small Forward,0.255780772,4,1.8,2.6,1,15.2,7.7,4.6,4.1,33.1,1.8,21.2,1.3,1.8,6.9,1.5,72,79,229
Patric Patterson,520,TOR,Power Forward,0.108826198,3.7,1.3,1.2,0.4,6.2,2.6,0.4,0.4,25.5,1.6,6.9,1,0.7,4.3,0.8,79,81,236
Isaiah Thomas,513,BOS,Point Guard,0.665120065,5.7,2,6.2,0.1,16.9,7.2,6.6,5.8,32.3,2,22.2,0.6,1.1,3,2.7,82,69,185
Kyrie Irving,496,CLE,Point Guard,0.72915152,4.9,1.6,4.7,0.3,16.6,7.4,3.6,3.2,31.4,2,19.6,0.8,1.1,2.9,2.3,53,75,193
Gorgui Dieng,473,MIN,Center,0.048112857,0.2,0.1,1.7,1.2,7,3.8,3,2.5,27.1,2.7,10.1,1.9,1.1,7.1,1.7,82,83,245
Andre Drummond,463,DET,Center,0.020823828,0.1,0,0.8,1.4,13.1,6.8,7.2,2.6,32.9,3,16.2,4.9,1.5,14.8,1.9,81,84,280
Kyle Korver,442,ATL,Shooting Guard,0.032016187,5,2,2.1,0.4,7.7,3.4,0.7,0.6,30.1,2,9.2,0.2,0.8,3.2,1.2,80,79,212
Monta Ellis,433,IND,Point Guard,0.16871692,3.5,1.1,4.7,0.5,12.6,5.4,2.5,2,33.7,2.1,13.8,0.5,1.8,3.4,2.5,81,75,185
Carmelo Anthony,395,NYK,Small Forward,0.955115616,4.3,1.5,4.2,0.5,18.2,7.9,5.6,4.6,35.1,2.5,21.8,1.4,0.9,7.7,2.4,72,80,236
Tristan Thompson,394,CLE,Center,0.229043237,0,0,0.8,0.6,5.1,3,3,1.8,27.7,2.5,7.8,3.3,0.5,9,0.7,82,81,238
Gary Harris,391,DEN,Shooting Guard,0.262592035,3.9,1.4,1.9,0.2,10.1,4.7,1.8,1.4,32.1,1.9,12.3,0.7,1.3,2.9,1.3,76,76,205
Dwight Howard,384,HOU,Center,0.435107508,0.1,0,1.4,1.6,8.5,5.2,6.7,3.3,32.1,3.1,13.7,3.4,1,11.8,2.3,71,83,265
Nikola Vucevic,383,ORL,Center,0.312689613,0.1,0,2.8,1.1,16.1,8.2,2.3,1.7,31.4,2.7,18.2,2.7,0.8,8.8,1.9,65,84,260
Thaddeus Young,380,BRO,Small Forward,0.719669036,0.4,0.1,1.8,0.5,13.2,6.8,2.2,1.4,33.1,2.5,15.1,2.4,1.5,9.1,1.9,73,80,220
Greg Monroe,348,MIL,Center,0.478281944,0,0,2.3,0.8,11.9,6.2,3.9,2.9,29.3,2.1,15.3,2.8,0.9,8.8,1.6,79,83,265
Rodney Hood,339,UTA,Shooting Guard,0.574370402,5.7,2,2.7,0.2,12.3,5.2,2.5,2.2,32.2,2.6,14.5,0.5,0.9,3.4,1.6,79,79,210
Anthony Davis,335,NOR,Power Forward,0.498734028,1.8,0.6,1.9,2,18.6,9.2,7,5.3,35.4,2.4,24.3,2.1,1.3,10.3,2,61,82,254
Steven Adams,310,OKL,Center,0.375899532,0,0,0.8,1.1,5.3,3.3,2.5,1.4,25.2,2.8,8,2.7,0.5,6.6,1.1,80,84,250
Jarrett Jack,309,BRO,Point Guard,0.625861317,3.2,1,7.4,0.2,11.2,4.4,3.5,3.1,32.1,2.4,12.8,0.2,1.1,4.2,2.9,32,75,196
Deandre Jordan,299,LAC,Center,0.751128835,0,0,1.2,2.3,6.6,4.6,8,3.5,33.8,2.7,12.7,3.5,0.7,13.8,1.4,77,83,265
Luol Deng,289,MIA,Small Forward,0.521182528,3.5,1.2,1.9,0.4,10.1,4.6,2.6,2,32.4,1.6,12.3,1.5,1,6,1.1,74,81,220
Harrison Barnes,278,GSW,Small Forward,0.040574636,3.2,1.2,1.8,0.2,9.6,4.5,2,1.5,31,2.1,11.7,1.2,0.6,4.9,0.9,66,80,225
Eric Gordon,253,NOR,Shooting Guard,0.295510542,6.5,2.5,2.7,0.3,12.2,5.1,2.8,2.5,32.9,2.2,15.2,0.2,1,2.2,1.6,45,76,216
Kemba Walker,213,CHA,Point Guard,0.0880423,6,2.2,5.2,0.5,16.4,7,5.4,4.6,35.6,1.4,20.9,0.7,1.6,4.4,2.1,81,73,184
Khris Middleton,199,MIL,Small Forward,0.131194691,4.6,1.8,4.2,0.2,14.5,6.4,3.9,3.5,36.1,2.6,18.2,0.6,1.7,3.8,2.3,79,80,234
Brandon Knight,195,PHO,Point Guard,0.477312947,6.6,2.3,5,0.4,16.9,7,3.5,2.9,35.3,2.3,19.2,0.7,1.2,3.8,3.3,53,75,189
