Player,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played
Evan Turner,BOS,Shooting Guard,1,0.2,4.4,0.3,9.3,4.2,2.2,1.8,28,1.7,10.5,0.6,1,4.9,2.1,81
Kemba Walker,CHA,Point Guard,6,2.2,5.2,0.5,16.4,7,5.4,4.6,35.6,1.4,20.9,0.7,1.6,4.4,2.1,81
Andrew Wiggins,MIN,Small Forward,2.3,0.7,2,0.6,16,7.3,7,5.3,35.1,2,20.7,1.3,1,3.6,2.2,81
Marvin Williams,CHA,Power Forward,4.7,1.9,1.4,1,9.2,4.2,1.8,1.5,28.9,1.6,11.7,1.6,0.7,6.4,0.8,81
Steven Adams,OKL,Center,0,0,0.8,1.1,5.3,3.3,2.5,1.4,25.2,2.8,8,2.7,0.5,6.6,1.1,80
Gi Antetokounmpo,MIL,Small Forward,1.4,0.3,4.3,1.4,12.7,6.4,5.1,3.7,35.3,3.2,16.9,1.4,1.2,7.7,2.6,80
Dante Cunningham,NOR,Power Forward,2.2,0.7,1,0.4,5.2,2.3,1,0.7,24.7,2.2,6,0.7,0.5,3,0.5,80
Raymond Felton,DAL,Point Guard,2.7,0.8,3.5,0.2,8.5,3.5,2.2,1.9,27.4,1.8,9.5,0.5,0.8,3.2,1.5,80
Jeff Green,LAC,Small Forward,2.7,0.8,1.7,0.5,10.3,4.4,2.8,2,28.2,2,11.7,0.9,0.7,4.2,1.2,80
Gordon Hayward,UTA,Shooting Guard,5.1,1.8,3.7,0.3,15,6.5,6,4.9,36.1,2.3,19.7,0.8,1.2,5,2.5,80
Wesley Johnson,LAC,Shooting Guard,3.9,1.3,0.6,0.7,6.4,2.6,0.6,0.4,20.8,2.2,6.9,0.5,1.1,3.1,0.7,80
Nikola Jokic,DEN,Center,1.1,0.3,2.4,0.6,7.5,3.8,2.4,1.9,21.7,2.6,9.9,2.3,1,7,1.3,80
Cory Joseph,TOR,Point Guard,1.4,0.4,3.1,0.2,7.3,3.2,2.2,1.7,25.7,1.6,8.5,0.5,0.8,2.6,1.3,80
Kyle Korver,ATL,Shooting Guard,5,2,2.1,0.4,7.7,3.4,0.7,0.6,30.1,2,9.2,0.2,0.8,3.2,1.2,80
Trey Lyles,UTA,Power Forward,1.6,0.6,0.8,0.2,5.5,2.4,1,0.7,17.3,1.4,6.1,0.7,0.3,3.7,0.8,80
C.J. McCollum,POR,Shooting Guard,5.9,2.5,4.3,0.3,17.9,8,2.8,2.3,34.7,2.3,20.8,0.6,1.2,3.2,2.5,80
Marcus Morris,DET,Small Forward,3.7,1.4,2.5,0.3,11.8,5.1,3.4,2.5,35.6,2.1,14.1,1.1,0.8,5,1.8,80
D'angelo Russell,LAL,Point Guard,4.6,1.6,3.3,0.2,11.9,4.9,2.4,1.8,28.2,1.8,13.2,0.6,1.2,3.4,2.5,80
Dennis Schroder,ATL,Point Guard,3,1,4.4,0.1,9.8,4.1,2.3,1.8,20.2,1.7,11,0.3,0.9,2.6,2.3,80
Garrett Temple,WAS,Shooting Guard,3.2,1.1,1.8,0.2,6.3,2.5,1.6,1.1,24.4,2.4,7.3,0.5,0.9,2.6,0.8,80
Klay Thompson,GSW,Shooting Guard,8.1,3.5,2.1,0.6,17.3,8.1,2.8,2.4,33.3,1.9,22.1,0.4,0.8,3.8,1.7,80
Russel Westbrook,OKL,Point Guard,4.3,1.3,10.4,0.2,18.1,8.2,7.2,5.8,34.4,2.5,23.5,1.8,2,7.8,4.3,80
Derrick Williams,NYK,Power Forward,1.9,0.6,0.9,0.1,7.1,3.2,3.2,2.4,18,0.9,9.3,0.6,0.4,3.7,0.8,80
Lavoy Allen,IND,Power Forward,0,0,1,0.5,4.7,2.4,0.9,0.6,20.3,1.9,5.4,2.1,0.3,5.4,0.9,79
Bojan Bogdanovic,BRO,Shooting Guard,4.3,1.6,1.3,0.1,9.5,4.1,1.7,1.4,26.8,1.5,11.2,0.5,0.4,3.2,1.5,79
Trevor Booker,UTA,Power Forward,0.5,0.2,1.1,0.5,4.9,2.4,1.3,0.9,20.7,2.1,5.9,2.1,0.7,5.7,1,79
Jordan Clarkson,LAL,Point Guard,4,1.4,2.4,0.1,13.9,6,2.6,2.1,32.4,2.1,15.5,1.2,1.1,4,1.7,79
Jamal Crawford,LAC,Shooting Guard,4.4,1.5,2.3,0.2,11.9,4.8,3.4,3.1,26.9,1.5,14.2,0.3,0.7,1.8,1.4,79
Stephen Curry,GSW,Point Guard,11.2,5.1,6.7,0.2,20.2,10.2,5.1,4.6,34.2,2,30.1,0.9,2.1,5.4,3.3,79
Evan Fournier,ORL,Small Forward,4.9,2,2.7,0,11.8,5.4,3,2.5,32.5,2.7,15.4,0.4,1.2,2.8,1.7,79
Danny Green,SAN,Shooting Guard,4.4,1.5,1.8,0.8,7.1,2.7,0.6,0.4,26.1,1.8,7.2,0.6,1,3.8,0.9,79
Mario Hezonja,ORL,Small Forward,2.4,0.8,1.4,0.2,5.3,2.3,0.7,0.6,17.9,1.6,6.1,0.4,0.5,2.2,1.2,79
Rodney Hood,UTA,Shooting Guard,5.7,2,2.7,0.2,12.3,5.2,2.5,2.2,32.2,2.6,14.5,0.5,0.9,3.4,1.6,79
Reggie Jackson,DET,Point Guard,4.2,1.5,6.2,0.1,15.7,6.8,4.3,3.7,30.7,2.4,18.8,0.7,0.7,3.2,2.8,79
Amir Johnson,BOS,Power Forward,0.5,0.1,1.7,1.1,5.4,3.2,1.5,0.9,22.8,2.7,7.3,2.3,0.7,6.4,1.2,79
Courtney Lee,NOR,Shooting Guard,2.7,1,1.7,0.4,8.1,3.7,1.5,1.3,29.6,1.7,9.6,0.4,1.1,2.6,0.9,79
Khris Middleton,MIL,Small Forward,4.6,1.8,4.2,0.2,14.5,6.4,3.9,3.5,36.1,2.6,18.2,0.6,1.7,3.8,2.3,79
Greg Monroe,MIL,Center,0,0,2.3,0.8,11.9,6.2,3.9,2.9,29.3,2.1,15.3,2.8,0.9,8.8,1.6,79
Patric Patterson,TOR,Power Forward,3.7,1.3,1.2,0.4,6.2,2.6,0.4,0.4,25.5,1.6,6.9,1,0.7,4.3,0.8,79
