Player,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played
Arron Afflalo,NYK,Shooting Guard,3.4,1.3,2,0.1,11.3,5,1.8,1.5,33.2,2,12.8,0.3,0.4,3.7,1.2,71
Patrick Beverley,HOU,Point Guard,4.4,1.7,3.4,0.4,8.4,3.6,1.2,0.8,28.7,3.3,9.9,1,1.3,3.5,1.3,71
Dwight Howard,HOU,Center,0.1,0,1.4,1.6,8.5,5.2,6.7,3.3,32.1,3.1,13.7,3.4,1,11.8,2.3,71
Ian Mahinmi,IND,Center,0,0,1.5,1.1,6.3,3.7,3.2,1.9,25.6,3.1,9.3,1.9,0.9,7.1,1.4,71
Thomas Robinson,BRO,Power Forward,0,0,0.6,0.5,4.1,1.8,1.5,0.7,12.9,1.6,4.3,1.9,0.5,5.1,1,71
Darrell Arthur,DEN,Power Forward,1.7,0.6,1.4,0.7,7,3.2,0.8,0.6,21.7,2.6,7.5,1.2,0.8,4.2,0.9,70
Nicolas Batum,CHA,Small Forward,5.7,2,5.8,0.6,12.5,5.3,2.7,2.3,35,1.6,14.9,0.8,0.9,6.1,2.9,70
Andrew Bogut,GSW,Center,0,0,2.3,1.6,4,2.5,0.7,0.3,20.7,3.2,5.4,1.7,0.5,7,1.2,70
Channing Frye,CLE,Power Forward,3.4,1.3,1,0.4,5,2.2,0.5,0.4,17.1,1.8,6,0.5,0.4,3.3,0.6,70
Rudy Gay,SAC,Small Forward,3.1,1.1,1.7,0.7,14.4,6.7,3.6,2.8,34,2.6,17.2,1.5,1.4,6.5,2,70
Chris Johnson,UTA,Small Forward,1.4,0.4,0.6,0.3,2.8,1,0.6,0.5,12.3,1.4,2.9,0.4,0.5,1.9,0.6,70
Andre Roberson,OKL,Shooting Guard,1.5,0.5,0.7,0.6,3.9,1.9,0.8,0.5,22.2,1.9,4.8,1.1,0.8,3.6,0.5,70
Rashad Vaughn,MIL,Shooting Guard,2.1,0.6,0.5,0.2,3.8,1.2,0.2,0.2,14.3,1,3.1,0.2,0.4,1.3,0.4,70
Aaron Brooks,CHI,Point Guard,2.7,1,2.6,0.1,6.8,2.7,0.9,0.7,16.1,1.9,7.1,0.3,0.4,1.5,1.2,69
Omri Casspi,SAC,Small Forward,4,1.6,1.4,0.2,9,4.3,2.3,1.5,27.3,2.2,11.8,0.8,0.8,5.9,1.4,69
Gerald Green,MIA,Shooting Guard,3.8,1.2,0.8,0.3,8.5,3.3,1.3,1,22.6,1.8,8.9,0.4,0.5,2.4,0.7,69
Kelly Olynyk,BOS,Center,3,1.2,1.5,0.5,8.1,3.7,1.9,1.4,20.2,2.4,10,1,0.8,4.1,1.1,69
Lance Stephenson,MEM,Small Forward,1.1,0.4,1.9,0.1,6.9,3.3,1.6,1.3,19.9,2,8.3,0.6,0.6,3.2,1.4,69
Omer Asik,NOR,Center,0,0,0.4,0.3,2.9,1.5,1.6,0.9,17.4,1.8,4,1.8,0.3,6.1,0.9,68
Leandro Barbosa,GSW,Shooting Guard,1.6,0.6,1.2,0.1,5.4,2.5,0.9,0.8,15.9,1.6,6.4,0.4,0.6,1.7,0.8,68
Marco Belinelli,SAC,Small Forward,4.4,1.3,1.9,0,9.3,3.6,2,1.7,24.6,1.3,10.2,0.1,0.5,1.7,1.2,68
Ben McLemore,SAC,Shooting Guard,2.7,1,1.2,0.1,6.7,2.9,1.5,1.1,21.2,2.1,7.8,0.5,0.8,2.2,1.5,68
Anthony Morrow,OKL,Shooting Guard,3,1.2,0.4,0.1,4.9,2,0.6,0.4,13.7,0.9,5.6,0.1,0.3,0.9,0.2,68
Emmanuel Mudiay,DEN,Point Guard,3.4,1.1,5.5,0.5,13.3,4.8,3.1,2.1,30.4,2.1,12.8,0.5,1,3.4,3.2,68
Paul Pierce,LAC,Small Forward,3.6,1.1,1,0.2,5.8,2.1,1,0.8,18.2,1.9,6.1,0.2,0.5,2.7,0.9,68
Dwight Powell,DAL,Power Forward,0.2,0,0.6,0.4,4.4,2.1,2.1,1.5,14.6,1.7,5.9,1.2,0.5,4,0.6,68
Zach Randolph,MEM,Power Forward,0.4,0.1,2.1,0.2,13.3,6.3,3.2,2.5,29.7,2.1,15.3,2.6,0.6,7.8,1.5,68
Kyle Singler,OKL,Small Forward,1.4,0.4,0.4,0.1,3.2,1.3,0.6,0.4,14.5,1.8,3.4,0.7,0.4,2.1,0.5,68
Jimmy Butler,CHI,Shooting Guard,3.1,1,4.8,0.6,15.4,7,7.1,5.9,36.9,1.9,20.9,1.2,1.6,5.4,2,67
Robert Covington,PHI,Small Forward,7.2,2.5,1.4,0.6,10.6,4.1,2.6,2.1,28.4,3.5,12.8,1,1.6,6.3,2.1,67
Kenneth Faried,DEN,Power Forward,0,0,1.2,0.9,9.3,5.2,3.3,2,25.3,2.5,12.5,3.5,0.5,8.7,1.4,67
Jon Leuer,PHO,Power Forward,1.6,0.6,1.1,0.4,7,3.3,1.5,1.1,18.8,1.9,8.5,1.1,0.6,5.6,1.1,67
Nerlens Noel,PHI,Center,0,0,1.8,1.5,8.8,4.6,3.4,2,29.3,2.9,11.1,2.3,1.8,8.1,2.4,67
Austin Rivers,LAC,Shooting Guard,2.8,0.9,1.5,0.1,7.7,3.4,1.7,1.2,21.9,2,8.9,0.3,0.7,1.9,0.9,67
Louis Williams,LAL,Shooting Guard,4.8,1.6,2.5,0.3,10.4,4.2,6.3,5.3,28.5,1.6,15.3,0.5,0.9,2.5,1.6,67
Ryan Anderson,NOR,Power Forward,5.4,2,1.1,0.4,14.1,6,3.5,3,30.5,1.7,17,2,0.6,6,1.4,66
Harrison Barnes,GSW,Small Forward,3.2,1.2,1.8,0.2,9.6,4.5,2,1.5,31,2.1,11.7,1.2,0.6,4.9,0.9,66
Brandon Bass,LAL,Power Forward,0,0,1.1,0.8,4.8,2.6,2.2,1.9,20.3,1.9,7.2,1.6,0.5,4.3,0.6,66
Kobe Bryant,LAL,Shooting Guard,7.1,2,2.8,0.2,16.8,6,4.3,3.5,28.2,1.7,17.6,0.6,0.9,3.7,2,66
Chase Budinger,PHO,Small Forward,1.3,0.4,1,0.2,3.6,1.6,0.8,0.6,14.1,0.9,4.1,0.7,0.5,2.3,0.7,66
Wil Cauley-stein,SAC,Center,0,0,0.6,1,5.1,2.9,1.9,1.2,21.4,2.2,7,2,0.7,5.3,0.7,66
Tyson Chandler,PHO,Center,0,0,1,0.7,4.8,2.8,2.6,1.6,24.5,2.2,7.2,2.7,0.5,8.7,1.4,66
Ian Clark,GSW,Shooting Guard,1.3,0.5,1,0.2,3.1,1.3,0.5,0.4,8.8,0.9,3.6,0.2,0.3,1,0.7,66
P.J. Hairston,MEM,Power Forward,3.7,1.1,0.6,0.2,6.2,2.2,1,0.8,19.9,2.1,6.2,0.4,0.5,2.6,0.6,66
Jeremy Lamb,CHA,Shooting Guard,2.7,0.8,1.2,0.5,7.7,3.5,1.3,1,18.6,1.6,8.8,0.7,0.6,3.8,0.8,66
Ty Lawson,IND,Point Guard,1.6,0.5,3.6,0.1,5.4,2.1,1.3,0.9,21.4,1.3,5.7,0.4,0.8,1.8,1.4,66
Nikola Mirotic,CHI,Power Forward,5.2,2,1.5,0.7,9.2,3.8,2.7,2.2,25,2.3,11.8,0.9,0.9,5.5,1.5,66
Johnny O'bryant,MIL,Power Forward,0,0,0.5,0.1,3.2,1.3,0.6,0.4,13,1.5,3,1,0.3,2.7,0.5,66
Derrick Rose,CHI,Point Guard,2.3,0.7,4.7,0.2,15.9,6.8,2.7,2.2,31.7,1.3,16.4,0.7,0.7,3.4,2.7,66
Demarcus Cousins,SAC,Center,3.2,1.1,3.3,1.4,20.5,9.2,10.2,7.3,34.5,3.6,26.9,2.4,1.6,11.5,3.8,65
Jrue Holiday,NOR,Point Guard,4,1.3,6,0.3,14.4,6.3,3.3,2.8,28.1,2.3,16.8,0.4,1.4,3,2.6,65
Andre Iguodala,GSW,Shooting Guard,2.4,0.8,3.4,0.3,5.7,2.7,1.3,0.8,26.7,1.6,7,0.8,1.1,4,1.2,65
Kyle O'quinn,NYK,Power Forward,0.3,0.1,1.1,0.8,4.2,2,0.9,0.7,11.7,1.6,4.8,1.2,0.3,3.8,0.9,65
Nikola Vucevic,ORL,Center,0.1,0,2.8,1.1,16.1,8.2,2.3,1.7,31.4,2.7,18.2,2.7,0.8,8.8,1.9,65
Deron Williams,DAL,Point Guard,4.3,1.5,5.8,0.2,11.9,4.9,3.2,2.8,32.4,2.4,14.1,0.3,0.9,2.9,2.3,65
Tony Allen,MEM,Shooting Guard,0.7,0.2,1.1,0.3,7.3,3.4,2.2,1.4,25.3,2.7,8.4,1.6,1.7,4.6,1.2,64
Trey Burke,UTA,Point Guard,4,1.4,2.3,0.1,9.9,4.1,1.3,1,21.3,1.3,10.6,0.3,0.5,1.8,1.2,64
Devin Harris,DAL,Point Guard,2.5,0.8,1.8,0.2,5.8,2.6,2.2,1.6,20,1.9,7.6,0.3,0.9,2.2,1,64
C.J. Miles,IND,Shooting Guard,6,2.2,1,0.5,9.9,4,1.9,1.5,22.9,2.2,11.8,0.4,0.8,2.7,1.1,64
Markieff Morris,WAS,Power Forward,2.4,0.7,1.9,0.5,11.2,4.8,2.3,1.7,25.5,2.9,12,1.1,0.9,5.5,2.1,64
Tony Snell,CHI,Small Forward,2.4,0.9,1,0.3,5.3,2,0.5,0.5,20.3,1.6,5.3,0.3,0.2,3.1,0.8,64
Larryjr Nance,LAL,Power Forward,0.2,0,0.7,0.4,4.8,2.5,0.7,0.5,20.1,2,5.5,1.6,0.9,5,0.7,63
Kelly Oubre,WAS,Power Forward,1.3,0.4,0.2,0.1,3.3,1.4,0.8,0.5,10.7,1.6,3.7,0.4,0.3,2.1,0.5,63
D.J. Augustin,DEN,Point Guard,2.7,1.1,3.2,0.1,5.6,2.4,2.1,1.7,19.1,1.4,7.5,0.1,0.6,1.5,1.4,62
Markel Brown,BRO,Shooting Guard,2,0.6,1.5,0.2,5.2,2,1.5,1.1,16,1.5,5.9,0.4,0.6,2,0.9,62
Derrick Favors,UTA,Power Forward,0.1,0,1.5,1.5,13.1,6.7,4.1,2.9,32,2.4,16.4,2.7,1.2,8.1,1.7,62
Bobby Portis,CHI,Power Forward,0.8,0.3,0.8,0.4,7,3,1.1,0.8,17.8,1.6,7,2,0.4,5.4,0.9,62
Ronnie Price,PHO,Point Guard,3.1,1.1,2.4,0.2,4.9,1.9,0.7,0.5,19.5,2.6,5.3,0.4,1.2,1.6,1.1,62
Charl Villanueva,DAL,Power Forward,2.8,0.8,0.4,0.2,5.3,2,0.4,0.4,10.8,1.1,5.1,0.4,0.3,2.5,0.5,62
Mario Chalmers,MEM,Point Guard,2.4,0.8,3.8,0.2,7.3,3,4.3,3.6,22.6,3,10.3,0.4,1.4,2.6,1.8,61
Anthony Davis,NOR,Power Forward,1.8,0.6,1.9,2,18.6,9.2,7,5.3,35.4,2.4,24.3,2.1,1.3,10.3,2,61
Toney Douglas,NOR,Point Guard,3.3,1.3,2.5,0.1,7.3,3,1.6,1.4,20.7,2.1,8.7,0.4,1.1,2.3,1,61
Tim Duncan,SAN,Power Forward,0,0,2.7,1.3,7.2,3.5,2.1,1.5,25.2,2,8.6,1.9,0.8,7.3,1.5,61
Rudy Gobert,UTA,Center,0,0,1.5,2.1,5.8,3.2,4.6,2.6,31.6,2.7,9.1,3.4,0.7,11,1.9,61
Meyers Leonard,POR,Center,3.7,1.4,1.5,0.3,7.1,3.2,0.8,0.6,21.8,3,8.3,0.8,0.1,5.1,1.3,61
Chandler Parsons,DAL,Small Forward,4.1,1.7,2.8,0.3,10.7,5.2,2.2,1.5,29.5,1.9,13.7,0.5,0.8,4.7,1.6,61
Miles Plumlee,MIL,Center,0,0,0.3,0.8,3.8,2.3,1,0.6,14.2,1.2,5.1,1.6,0.3,3.8,0.7,61
Donald Sloan,BRO,Point Guard,1.6,0.6,4.4,0.1,5.7,2.5,1.7,1.3,21.6,1.2,7,0.3,0.5,2.8,1.3,61
Marcus Smart,BOS,Point Guard,4,1,3,0.3,8.7,3,2.7,2.1,27.3,3,9.1,1.2,1.5,4.2,1.3,61
Marcus Thornton,WAS,Shooting Guard,4.4,1.5,1.4,0.1,8.9,3.5,1.3,1.1,18.2,1.5,9.7,0.6,0.8,2.4,0.8,61
Sasha Vujacic,NYK,Shooting Guard,2.3,0.9,1.4,0.1,4.5,1.7,0.6,0.5,14.9,1.4,4.9,0.4,0.6,2.4,0.7,61
Cole Aldrich,LAC,Center,0,0,0.8,1.1,3.8,2.2,1.4,1,13.4,2.3,5.5,1.4,0.8,4.8,1.1,60
Nemanja Bjelica,MIN,Power Forward,2.1,0.8,1.4,0.3,3.9,1.8,0.9,0.7,18,2.6,5.1,0.8,0.4,3.5,0.8,60
Vince Carter,MEM,Shooting Guard,2.8,1,0.9,0.3,5.7,2.2,1.4,1.2,16.8,1.7,6.6,0.5,0.6,2.4,0.6,60
Mike Muscala,ATL,Power Forward,0.7,0.2,0.6,0.5,2.5,1.3,0.7,0.5,9.5,1.2,3.2,0.6,0.2,1.9,0.5,60
Myles Turner,IND,Power Forward,0.2,0.1,0.7,1.4,8.8,4.4,2,1.5,22.8,2.6,10.3,1.1,0.4,5.5,1.1,60
Jona Valanciunas,TOR,Center,0,0,0.7,1.3,8.9,5,3.5,2.7,26,2.6,12.8,3.1,0.4,9.1,1.4,60
Tyler Zeller,BOS,Center,0,0,0.5,0.4,4.8,2.3,1.8,1.5,11.9,1.6,6.1,1,0.2,3,0.8,60
Quincy Acy,SAC,Small Forward,0.8,0.3,0.5,0.4,3.6,2,1.2,0.8,14.9,1.7,5.2,1.1,0.5,3.2,0.5,59
Alexis Ajinca,NOR,Center,0,0,0.5,0.6,5.3,2.5,1.1,0.9,14.6,2.3,6,1.3,0.3,4.6,0.9,59
Nick Collison,OKL,Power Forward,0,0,0.9,0.3,1.8,0.8,0.6,0.4,11.9,1.8,2.1,1.2,0.3,2.9,0.8,59
Solomon Hill,IND,Small Forward,1.2,0.4,1,0.2,3.5,1.6,0.7,0.6,14.7,1.2,4.2,0.7,0.6,2.8,0.6,59
Joffre Lauvergne,DEN,Power Forward,0.9,0.2,0.9,0.3,6.4,3.3,1.2,1.1,17.7,1.9,7.9,1.3,0.2,4.9,0.9,59
E'twaun Moore,CHI,Shooting Guard,1.8,0.8,1.7,0.3,6.6,3.2,0.6,0.4,21.4,1.7,7.5,0.3,0.6,2.3,0.9,59
Pablo Prigioni,LAC,Point Guard,1.6,0.5,2.2,0,2.5,0.9,0.1,0.1,13.8,1.4,2.5,0.6,0.9,1.9,0.8,59
Lance Thomas,NYK,Small Forward,1.8,0.7,0.9,0.1,6.5,2.9,2,1.7,22.4,1.8,8.2,0.6,0.4,2.2,1,59
Steve Blake,DET,Point Guard,2.6,0.9,3.4,0.1,4.1,1.6,0.3,0.3,17,1.2,4.4,0.2,0.4,1.5,1.4,58
Dewayne Dedmon,ORL,Center,0,0,0.2,0.8,3.1,1.7,1.3,1,12.2,1.9,4.4,1.2,0.4,3.9,0.6,58
Manu Ginobili,SAN,Shooting Guard,3.1,1.2,3.1,0.2,7.5,3.4,1.9,1.6,19.6,1.7,9.6,0.4,1.1,2.5,1.7,58
Rodney Stuckey,IND,Point Guard,1.4,0.3,2.4,0.1,7.7,3.2,2.7,2.3,22,1.3,8.9,0.3,0.7,2.7,1.3,58
Archie Goodwin,PHO,Shooting Guard,1.7,0.4,2.1,0.2,7.4,3.1,3.4,2.3,19.5,1.5,8.9,0.5,0.5,2.5,1.8,57
Spencer Hawes,CHA,Power Forward,1.8,0.7,1.9,0.5,5.4,2.2,1.1,0.9,18.1,1.9,6,0.9,0.4,4.3,1,57
John Henson,MIL,Power Forward,0,0,0.9,1.9,5.1,2.9,2.1,1.2,16.8,2.3,7,1.5,0.3,3.9,1.1,57
Nene Hilario,WAS,Power Forward,0.1,0,1.7,0.5,6.7,3.7,3.2,1.9,19.2,2.7,9.2,0.9,0.9,4.5,1.3,57
James Johnson,TOR,Power Forward,1.2,0.4,1.2,0.6,4.2,2,1.2,0.7,16.2,1.5,5,0.5,0.5,2.2,0.9,57
Cameron Payne,OKL,Point Guard,1.9,0.6,1.9,0.1,4.9,2,0.4,0.3,12.3,1.4,5,0.2,0.6,1.5,0.8,57
Mike Conley,MEM,Point Guard,3.8,1.4,6.1,0.3,12.4,5.2,4.1,3.4,31.3,1.8,15.3,0.5,1.2,2.9,1.5,56
Andrew Nicholson,ORL,Power Forward,2,0.7,0.4,0.4,5.5,2.6,1.2,0.9,14.7,1.2,6.9,0.6,0.2,3.6,0.7,56
Justin Anderson,DAL,Shooting Guard,1.5,0.4,0.5,0.5,3.2,1.3,1,0.8,11.7,0.8,3.8,0.3,0.3,2.4,0.4,55
Bradley Beal,WAS,Shooting Guard,4.9,1.9,2.9,0.2,14.5,6.5,3.2,2.5,31.1,2.1,17.4,0.7,1,3.4,2,55
David Lee,DAL,Power Forward,0,0,1.5,0.5,6.1,3.2,1.7,1.3,16.5,2.1,7.8,1.8,0.4,5.5,1.2,55
Kevin Martin,SAN,Shooting Guard,2.5,0.9,1.1,0.1,7.6,2.8,3.1,2.8,19.9,1.5,9.3,0.3,0.5,2,1,55
Shabazz Napier,ORL,Point Guard,1.9,0.6,1.8,0,3.7,1.2,0.8,0.6,10.9,0.7,3.7,0.2,0.4,1,0.8,55
Jonathon Simmons,SAN,Shooting Guard,0.9,0.3,1.1,0.1,4.4,2.2,1.7,1.3,14.7,1.9,6,0.3,0.4,1.7,1,55
Josh Smith,HOU,Small Forward,2.6,0.7,1.6,0.9,6.3,2.3,1.2,0.7,16,2.1,6,0.9,0.6,3.5,1.4,55
Boban Marjanovic,SAN,Center,0,0,0.4,0.4,3.2,1.9,2.1,1.6,9.4,1,5.5,1.4,0.2,3.6,0.5,54
Iman Shumpert,CLE,Shooting Guard,2.7,0.8,1.7,0.4,5.6,2.1,0.9,0.7,24.4,2.2,5.8,0.6,1,3.8,1,54
Nick Young,LAL,Small Forward,4.4,1.4,0.6,0.1,6.9,2.3,1.4,1.2,19.2,0.9,7.3,0.3,0.4,1.8,0.6,54
Chris Bosh,MIA,Power Forward,4.2,1.5,2.4,0.6,14.5,6.8,5.1,4,33.5,1.9,19.1,0.9,0.7,7.4,1.5,53
Danilo Gallinari,DEN,Small Forward,4.5,1.6,2.5,0.4,13.2,5.4,8.2,7.1,34.7,1.6,19.5,1,0.8,5.3,1.5,53
Justin Holiday,CHI,Shooting Guard,2,0.7,1.1,0.4,4.3,1.7,0.7,0.5,14.5,1.2,4.5,0.2,0.6,1.7,0.7,53
Marcelo Huertas,LAL,Point Guard,1.2,0.3,3.4,0.1,4.3,1.8,0.5,0.5,16.3,1.4,4.5,0.3,0.5,1.7,1.5,53
Kris Humphries,ATL,Power Forward,2,0.6,0.7,0.5,5.6,2.3,1.6,1.3,15.8,1.8,6.5,1.1,0.3,4.1,0.7,53
Kyrie Irving,CLE,Point Guard,4.9,1.6,4.7,0.3,16.6,7.4,3.6,3.2,31.4,2,19.6,0.8,1.1,2.9,2.3,53
Brandon Knight,PHO,Point Guard,6.6,2.3,5,0.4,16.9,7,3.5,2.9,35.3,2.3,19.2,0.7,1.2,3.8,3.3,53
Jahlil Okafor,PHI,Center,0.1,0,1.2,1.2,14.7,7.5,3.7,2.5,30.1,2.6,17.5,2.3,0.4,7,2.3,53
Anderson Varejao,GSW,Center,0,0,0.7,0.2,2.3,1,0.9,0.6,9.3,1.3,2.6,0.7,0.3,2.7,0.4,53
Jerryd Bayless,MIL,Point Guard,4.4,1.9,3.1,0.2,8.4,3.6,1.7,1.3,29,2.1,10.4,0.4,0.9,2.7,1.4,52
Marc Gasol,MEM,Center,0.1,0,3.8,1.3,13.6,6.3,4.7,3.9,34.5,2.7,16.6,1.1,1,7,2.3,52
Shelvin Mack,UTA,Point Guard,2.4,0.8,3.6,0.1,8,3.5,1.2,0.9,20.5,1.4,8.6,0.2,0.7,2.5,1.8,52
Adreian Payne,MIN,Power Forward,0.6,0.2,0.6,0.2,2.8,1,0.5,0.3,9.3,1.5,2.5,0.4,0.3,2.2,0.7,52
Josh Richardson,MIA,Shooting Guard,2.2,1,1.4,0.5,5.2,2.4,1.2,0.8,21.2,2.1,6.6,0.4,0.7,2.1,0.7,52
Amare Stoudemire,MIA,Power Forward,0,0,0.5,0.8,4.2,2.4,1.3,1,14.7,1.8,5.8,1.2,0.4,4.3,0.9,52
James Anderson,SAC,Shooting Guard,1.7,0.5,0.8,0.3,3.5,1.3,0.6,0.4,14.1,1.1,3.5,0.3,0.4,1.7,0.8,51
Timjr Hardaway,ATL,Shooting Guard,2.8,0.9,1,0.1,5.2,2.2,1.1,1,16.9,0.9,6.4,0.1,0.4,1.7,0.5,51
Richaun Holmes,PHI,Power Forward,0.9,0.2,0.6,0.8,4.4,2.2,1.5,1,13.8,1.8,5.6,1.2,0.4,2.6,0.6,51
Brian Roberts,POR,Point Guard,0.8,0.3,1.1,0,3.2,1.5,0.9,0.8,9.3,0.7,4,0.1,0.2,0.8,0.5,51
Jeff Withey,UTA,Center,0,0,0.4,1,3.2,1.7,1.2,0.8,12.8,1.5,4.3,1.1,0.4,3.4,0.5,51
Tim Frazier,NOR,Point Guard,0.9,0.3,3.1,0,4.4,1.8,1.4,1,14.4,1.4,4.9,0.5,0.6,2.1,1.3,50
Terrence Jones,HOU,Power Forward,1.6,0.5,0.8,0.8,7.3,3.3,2.3,1.5,20.9,1.7,8.7,1.2,0.5,4.2,1,50
Norman Powell,TOR,Shooting Guard,1.8,0.7,1,0.2,4.7,2,1.1,0.9,14.9,1.2,5.6,0.3,0.6,2.3,0.7,49
Brandon Jennings,ORL,Point Guard,3.2,1.1,3.6,0.1,6.3,2.3,1.6,1.2,18.1,1.2,6.9,0.3,0.6,2,1.2,48
James Jones,CLE,Shooting Guard,2.2,0.9,0.3,0.2,3,1.2,0.5,0.4,9.7,1,3.8,0.2,0.2,1,0.3,48
Kevin Seraphin,NYK,Power Forward,0,0,1,0.8,4.3,1.8,0.5,0.4,11,1.4,3.9,0.6,0.2,2.6,0.9,48
Luke Babbitt,NOR,Small Forward,2.3,0.9,1.1,0.1,6.1,2.6,1.1,0.8,18,1.9,7,0.5,0.2,3.1,0.5,47
Al Jefferson,CHA,Center,0,0,1.5,0.9,10.7,5.2,2.4,1.5,23.3,2.5,12,1.2,0.6,6.4,0.7,47
Mike Miller,DEN,Small Forward,1.1,0.4,0.9,0.1,1.3,0.5,0,0,8,1.1,1.3,0.1,0.3,1.1,0.4,47
Jason Thompson,TOR,Center,0.3,0.1,0.6,0.4,2.3,1.1,1.1,0.8,10,1.7,3.1,0.7,0.3,2.8,0.3,47
T.J. Warren,PHO,Small Forward,1.5,0.6,0.9,0.3,9.4,4.7,1.4,1,22.7,2,11,1.2,0.8,3.1,0.7,47
Andrea Bargnani,BRO,Center,0.3,0.1,0.4,0.2,6,2.8,1.2,1,13.8,1.3,6.6,0.6,0.1,2.1,0.6,46
Rasual Butler,SAN,Small Forward,1.1,0.3,0.5,0.5,2.3,1.1,0.3,0.2,9.4,0.2,2.7,0.1,0.3,1.2,0.2,46
Tyler Ennis,MIL,Point Guard,0.8,0.3,2.1,0,4.1,1.8,0.7,0.5,14.3,1.4,4.5,0.3,0.5,1.6,1,46
Festus Ezeli,GSW,Center,0,0,0.7,1.1,5,2.7,2.9,1.5,16.7,2,7,2,0.4,5.7,0.8,46
Kirk Hinrich,ATL,Shooting Guard,1.3,0.5,1.6,0,2.8,1.1,0.3,0.3,13.7,1.4,3,0.2,0.3,1.5,0.7,46
Norris Cole,NOR,Point Guard,2.3,0.7,3.7,0.1,10.8,4.4,1.4,1.2,26.6,2.3,10.6,0.2,0.8,3.4,1.7,45
Jared Cunningham,MIL,Shooting Guard,0.9,0.3,0.4,0,2.3,0.8,1.2,0.8,9.2,0.9,2.7,0.1,0.3,0.8,0.5,45
Eric Gordon,NOR,Shooting Guard,6.5,2.5,2.7,0.3,12.2,5.1,2.8,2.5,32.9,2.2,15.2,0.2,1,2.2,1.6,45
Glenn Robinson,IND,Small Forward,0.8,0.3,0.6,0.2,3.4,1.4,0.9,0.6,11.4,0.5,3.8,0.3,0.4,1.5,0.4,45
Seth Curry,SAC,Shooting Guard,2.5,1.1,1.5,0.1,5.1,2.3,1.2,1,15.8,0.9,6.8,0.2,0.5,1.4,0.8,44
Tyler Hansbrough,CHA,Power Forward,0.1,0,0.2,0.2,1.6,0.7,1.5,0.9,7.9,1.2,2.4,0.9,0.3,2,0.3,44
Beno Udrih,MIA,Point Guard,1,0.3,2.6,0,4.5,2,0.5,0.4,16.1,1.2,4.7,0.2,0.3,1.6,1.2,44
Troy Daniels,CHA,Shooting Guard,2.8,1.4,0.5,0.1,4.3,2.1,0.2,0.1,11.1,0.9,5.6,0.2,0.3,1.3,0.6,43
John Jenkins,PHO,Shooting Guard,1.2,0.4,0.8,0,3.7,1.6,0.6,0.5,11,0.5,4.1,0.2,0.2,1.3,0.6,43
Sonny Weems,PHI,Shooting Guard,1,0.3,1.1,0,2.6,1,0.3,0.2,11.7,1.1,2.5,0.2,0.2,1.2,1,43
Josh McRoberts,MIA,Power Forward,1.2,0.3,1.9,0.2,3.5,1.3,1,0.7,14.2,1.6,3.6,0.5,0.4,2.5,0.7,42
O.J. Mayo,MIL,Shooting Guard,4,1.3,2.9,0.2,7.8,2.9,1,0.8,26.5,3.1,7.8,0.3,1.1,2.6,1.8,41
James McAdoo,GSW,Shooting Guard,0,0,0.4,0.2,2,1.1,1.2,0.6,6.5,1,2.9,0.7,0.2,1.4,0.4,41
Ray McCallum,MEM,Point Guard,1,0.4,1.5,0.2,3.6,1.3,0.4,0.3,11.6,0.7,3.3,0.2,0.3,1.1,0.6,41
Mo Williams,CLE,Point Guard,2.5,0.9,2.4,0.1,7.4,3.2,1,0.9,18.2,1.5,8.2,0.1,0.3,1.8,1.4,41
Joseph Young,IND,Point Guard,1.1,0.2,1.6,0,4.1,1.5,0.6,0.5,9.4,0.7,3.8,0.1,0.4,1.2,0.8,41
Sergey Karasev,BRO,Shooting Guard,0.9,0.3,0.9,0.1,1.9,0.8,0.7,0.7,10.1,0.7,2.4,0.2,0.1,1.4,0.6,40
Gary Neal,WAS,Point Guard,2.5,1,1.2,0,8.1,3.8,1.4,1.2,20.2,1.4,9.8,0.3,0.5,2.1,0.8,40
Tarik Black,LAL,Center,0,0,0.4,0.5,2.7,1.5,1.2,0.5,12.7,2,3.4,1.1,0.4,4,0.6,39
Kevin Garnett,MIN,Power Forward,0,0,1.6,0.3,2.9,1.4,0.5,0.4,14.3,1.8,3.1,0.4,0.7,3.8,0.4,39
Montrez Harrell,HOU,Power Forward,0,0,0.4,0.3,2.3,1.5,1.2,0.6,9.7,1.2,3.6,0.7,0.3,1.7,0.4,39
Andre Miller,SAN,Point Guard,0.2,0.1,2.2,0,2.7,1.5,0.8,0.6,11.8,1.2,3.7,0.3,0.4,1.3,0.9,39
Jameer Nelson,DEN,Point Guard,3.7,1.1,4.9,0.1,7.9,2.9,0.9,0.8,26.6,2.6,7.7,0.5,0.6,2.9,1.7,39
Willie Reed,BRO,Power Forward,0,0,0.3,0.8,3.4,1.9,1.4,0.8,10.9,1.2,4.7,1.3,0.2,3.1,0.4,39
Terry Rozier,BOS,Point Guard,0.7,0.2,0.9,0,2.7,0.7,0.3,0.2,7.9,0.6,1.8,0.6,0.2,1.6,0.5,39
