Player,Player Anonymized,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played,Height (Inches),Weight (Pounds)
Paul Millsap,542,ATL,Power Forward,2.9,0.9,3.3,1.7,13.2,6.2,5,3.8,32.6,2.9,17.1,2.4,1.8,9,2.4,81,80,247
Pau Gasol,173,CHI,Power Forward,1,0.3,4.1,2,13.8,6.5,4,3.2,31.9,2.1,16.5,2.2,0.6,11,2.3,72,84,254
Kevin Love,691,CLE,Power Forward,5.7,2.1,2.4,0.5,12.7,5.3,4.1,3.4,31.5,2.1,16,1.9,0.8,9.9,1.8,77,82,251
Dirk Nowitzki,649,DAL,Power Forward,4.6,1.7,1.8,0.7,14.8,6.6,3.7,3.3,31.5,2.1,18.3,0.7,0.7,6.5,1.1,75,84,245
Lamarcu Aldridge,848,SAN,Power Forward,0.2,0,1.5,1.1,14.1,7.2,4.1,3.5,30.5,2,18,2.4,0.5,8.5,1.3,74,83,240
Demarcus Cousins,940,SAC,Center,3.2,1.1,3.3,1.4,20.5,9.2,10.2,7.3,34.5,3.6,26.9,2.4,1.6,11.5,3.8,65,83,269
Marc Gasol,637,MEM,Center,0.1,0,3.8,1.3,13.6,6.3,4.7,3.9,34.5,2.7,16.6,1.1,1,7,2.3,52,85,265
Deandre Jordan,517,LAC,Center,0,0,1.2,2.3,6.6,4.6,8,3.5,33.8,2.7,12.7,3.5,0.7,13.8,1.4,77,83,265
Brook Lopez,284,BRO,Center,0.2,0,2,1.7,15.8,8.1,5.5,4.3,33.7,2.9,20.6,2.8,0.8,7.9,2.4,73,84,265
Andre Drummond,325,DET,Center,0.1,0,0.8,1.4,13.1,6.8,7.2,2.6,32.9,3,16.2,4.9,1.5,14.8,1.9,81,84,280
Dwight Howard,275,HOU,Center,0.1,0,1.4,1.6,8.5,5.2,6.7,3.3,32.1,3.1,13.7,3.4,1,11.8,2.3,71,83,265
Rudy Gobert,678,UTA,Center,0,0,1.5,2.1,5.8,3.2,4.6,2.6,31.6,2.7,9.1,3.4,0.7,11,1.9,61,85,245
Karl-Anthony Towns,516,MIN,Center,1.1,0.4,2,1.7,14,7.6,3.4,2.7,32,3,18.3,2.8,0.7,10.4,2.2,82,84,247
Nikola Vucevic,253,ORL,Center,0.1,0,2.8,1.1,16.1,8.2,2.3,1.7,31.4,2.7,18.2,2.7,0.8,8.8,1.9,65,84,260
Marcin Gortat,347,WAS,Center,0,0,1.4,1.3,10.2,5.8,2.8,1.9,30.1,2.6,13.5,2.9,0.6,9.9,1.6,75,83,240
